Site,Switch Name,IP
Sidcup,DLL-Sidcup,10.32.220.251
,DLC-Sidcup-MainComms-2,10.32.220.250
,DLC-Sidcup-Lynxight,10.32.220.249
,,
Solihull Cranmore,DLL-SolihullCranmore-MainComms,10.2.6.253
,DLC-SolihullCranmore-Lynxight,10.2.6.252
,,
Southampton,DLL-Southampton-Comms,10.2.5.253
,DLL-Southampton-X440-G2-24t,10.2.5.252
,DLL-Southampton-Comms-2,
,DLC-Southampton-Plant,10.32.7.253
,,10.32.7.252
Southampton West End,DLC-SWE-MainComms-SW3,10.32.7.251
,DLC-SWE-CabC-SW1,
,DLC-SWE-MainComms-SW1,10.32.50.253
,DLC-SWE-CabD-SW1,10.32.50.252
Lyxnight Server here,DLC-SWE-MainComms-SW2,10.32.50.49
,DLC-SWE-CabB-SW1,
MX Connected here,DLC-SWE-CabA-SW1,10.32.43.253
,,10.32.43.252
Swansea,DL-Glamorgan,10.32.43.251
,DLC-Swansea-Lynxight,10.32.43.250
,,
Norwich,DLC-Norwich,10.32.221.253
,DLC-NorwichSubRack,10.32.221.252
,DLC-Norwich-Lnyxight,10.32.221.250
,,10.32.221.249
Southend,DLC-Southend,10.32.221.248
,DLC-Southend-Lynxight,10.32.221.247
,DLC-Southend-Gym,10.32.221.246
,DLC-Southend-MainComms-2,
,,10.32.215.253
Speke,DLC-Speke,10.32.215.251
,DLC-Speke-Spa,10.32.215.49
,DLC-Speke-Lynxight,
,,10.32.218.253
Stevenage ,DLC-Stevenage,10.32.218.252
,DLC-Stevenage-Lynxitght,10.32.218.252
,,10.32.218.49
Sudbury Hill,DLC-SudburyHill,
,DLC-SudburyHill-MainComms-2,10.32.68.253
,DLC-SudburyHill-Lynxight,10.32.68.251
,DLC-SudburyHill-Spa,10.32.68.250
,,10.32.68.249
Sunderland,DLC-Sunderland-MainComms,10.32.68.49
,DLC-Sunderland-Lynxight,
,,10.32.41.253
Swindon ,DLC-Swindon,192.168.200.252
,DLC-Swindon-Lynxight,10.32.41.251
,,10.32.41.49
Teesside,DLC-Teeside,
,DLC-Teeside-2,10.32.0.253
,DLC-Teeside-Lynxight,10.32.0.252
,,10.32.0.49
,,
Warrington,DLC-Warrington,10.32.47.253
,DLC-Warrington-Lynxight,10.32.47.252
,DLC-Warrington-Gym,10.32.47.251
,,10.32.47.250
West Bridgeford,DLC-WestBridgford-MainComms,10.32.47.49
,DLC-WestBridgford-Subrack,
,DLC-WestBridgeford-Lynxight,10.32.222.253
,,10.32.222.252
,,10.32.222.49
Woking,DLC-Woking,
,DLC-Woking-MainComms-2,10.32.70.253
,DLC-Woking-Lnyxight,10.32.70.252
,,10.32.70.49
Worcester,DLL-Worcester-X440,
,DLL-Worcester2,10.32.30.253
,DLC-Worcester-Lynxight,10.32.30.251
,,10.32.30.250
Worthing,DLC-Worthing,
,DLC-Worthing-Main-2,
,DLC-Worthing-Gym,10.32.38.253
,DLC-Lynxight-Outdoor-8P,10.32.38.252
,,10.32.38.251
York,DLC-York,10.32.38.49
,DLC-York-Gym,
,DLC-York-MainComms-2,10.32.49.252
,DLC-York-Spa-SW1,10.32.49.251
,,10.32.49.249
Bad Homborg,DLC-Bad-Homburg,10.32.49.49
,,
Hatfield,DLL-Hatfield-Temp,10.32.60.253
,DLL-Hatfield-Hotel,10.32.60.252
Gym Switch 2,DLC-Hatfield-ClubRecep-2,10.32.60.251
,HatfieldCoreStack,10.32.60.49
,DLC-Hatfield-Trident,
,DLC-Hatfield-Reception-Temp,10.32.202.253
Gym Switch 1,DLC-Hatfield-ClubRecep-1,10.32.202.252
,HAT-ADMIN,10.32.202.251
,DLC-Hatfield-Lynxight,
,DLC-Hatfield-Spa,
,,10.32.64.253
Bicester,DLC-Bicester-Main-X440-48p,10.32.64.250
,DLC-Bicester-2,10.32.64.251
,DLC-Bicester-SubRack-B,10.32.64.249
,DLC-Bicester-Lynxight,10.32.64.49
,,
Emersons Green,DLC-EmersonsGreen,192.168.9.253
,DLC-Emersons-2,10.32.81.252
,,10.32.81.251
Rugby,DLC-Rugby-48-1,10.32.81.250
,DLC-Rugby-48-2,10.32.81.49
,DLC-Rugby-Subrack,
,DLC-Rugby-Lynxight,10.32.229.253
,,
Shawfair ,DLC-Shawfair-Main,192.168.17.10
,DLC-Shawfair-48-2,192.168.12.12
,DLC-Shawfair-Subrack,192.168.12.10
,DLC-Shawfair-Lynxight,192.168.12.252
,,10.32.83.246
Bury St Edmunds,DLC-Bury-St-Edmunds-48-1,192.168.12.249
,DLC-Bury-St-Edmunds-48-2,192.168.12.9
,DLC-Bury-St-Edmunds-Subrack,192.168.12.11
,DLC-Bury-St-Edmunds-HiImpact,10.32.83.248
,DLC-Bury-St-Edmunds-Lynxight,10.36.83.247
,,
Serrano,DLC-Serrano-Comms-48,10.32.232.253
,DLC-Serrano-Recp-8,10.32.232.252
,Serrano-Bar-8p,10.32.232.251
,DLC-TempOffice,10.32.232.250
,DLC-Serrano-HighImpact,
,DLC-Serrano-7th-Floor,10.32.230.253
,DLC-Serrano-6th-Floor-48P,10.32.230.252
,,
La Finca,DLC-LaFina-Lower-Comms,10.32.158.253
,DLC-LaFinca-HO-Comms-24,10.32.158.252
,1st-Floor-Comm-Room-24p,10.32.158.251
,1st-Floor-Comm-Room,10.32.158.250
,DLC-LaFinca-Kids,
,DLC-Lafica-Spa,10.36.156.253
,,10.36.156.252
Gava Mar,DLC-Gava-Core,10.36.156.251
,DLC-Gava-Gym,10.36.156.250
,DLC-GavaMar-Reception,
,DLC-Gava-TempOffice,10.32.164.253
,DLC-Gava-Spa,10.32.164.252
,,10.32.164.251
Malaga,DLC-Malaga-48,10.32.164.250
,DLC-Malaga-2,10.32.164.249
,,
Zaragoza,DLC-Zaragoza,10.32.163.253
,DLC-Zaragoza-48,10.32.163.252
,,10.32.163.251
Sterrebeek,DLC-Sterr-Comms24,10.32.163.246
,DLC-Sterrebeek-Comms-48,10.32.163.250
,DLC-Ster-TEMP,10.32.163.248
,,10.32.163.247
Wickwoods,DLC-Wickwoods-ExtPlant,
,DLC-Wickwoods-Accounts,10.32.162.253
,DLC-Wickwoods-Sales,10.32.162.252
,DLC-Wickwoods-Main-2,10.32.162.251
